"Organizational_unit_code__c","Organizational_unit__c","User_position_code__c","User_position__c","User_position_equivalence__c"
"00027902","BIBEC PERU","JF9","LEVEL D","ASSOCIATE"
"00027902","BIBEC PERU","GE7","LEVEL F","ASSOCIATE"
"00010393","COMEX, LEASING Y MEDIANO PLAZO","AIB","GTE LEASING Y MED PLAZO","GTE LEASING Y MED PLAZO"
"00024316","GESTION  COMERCIAL COMEX","ALE","EJECUTIVO","EJECUTIVO COMEX"
"00025715","LEASING Y MEDIANO PLAZO","AYL","EJECUTIVO LEASING Y FINANC EST","EJECUTIVO REDES"
"00009947","GIN REDES PERU","GE9","LEVEL B","GTE REDES"
"00025526","EMPRESAS","GE8","LEVEL C","EJECUTIVO REDES"
"00025526","EMPRESAS","GE8","LEVEL D","EJECUTIVO REDES"
"00025526","EMPRESAS","GE8","LEVEL E","EJECUTIVO REDES"
"00025526","EMPRESAS","GE8","LEVEL F","EJECUTIVO REDES"
"00038298","LOCAL TRANSACTIONAL BANKING","C09","LEVEL F","DIGITAL TRAINER"
"00027902","BIBEC PERU","RP6","LEVEL C","ASSOCIATE"
"00007945","GERENCIA REGIONAL BE 1","AW4","EJECUTIVO DIGITAL TRAINER","EJECUTIVO DT"
"00008205","BANCA INSTITUCIONAL","I21","GRTE BANCA INSTITUCIONAL","GERENTE BEC"
"00026794","BANCA EMPRESAS CENTRAL","AW4","EJECUTIVO DIGITAL TRAINER","DIGITAL TRAINER"
"00026793","GERENCIA REGIONAL BE 3","AW4","EJECUTIVO DIGITAL TRAINER","EJECUTIVO DT"
"00008205","BANCA INSTITUCIONAL","AW4","EJECUTIVO DIGITAL TRAINER","DIGITAL TRAINER"
"00007946","GERENCIA REGIONAL BE 2","AW4","EJECUTIVO DIGITAL TRAINER","EJECUTIVO DT"
"00008205","BANCA INSTITUCIONAL","I32","EJECUTIVO BCA INSTITUCIONAL","EJECUTIVO BEC"