"CURRENCYISOCODE","DWP_DACE__RULE_ID__R.DWP_DACE__RULE_UNIQUE_ID__C","DWP_DACE__ACTION_ID__R.DWP_DACE__ACTION_UNIQUE_ID__C","DWP_DACE__RULE_ACTION_ACTIVE_TYPE__C"
"PEN","CASE_RULE_1","btnReasign","true"
"PEN","OPP_RULE_03","btnQuote","true"
"PEN","OPP_RULE_23","btnReject","true"
"PEN","OPP_RULE_23","btnFormalize","true"
"PEN","OPP_RULE_26","btnFormalization","true"
"PEN","OPP_RULE_15","btnReevaluate","true"
"PEN","OPP_RULE_10","btnQuote","true"
"PEN","OPP_RULE_06","btnComplete","true"
"PEN","OPP_RULE_02","btnPenalizeRisk","true"
"PEN","OPP_RULE_20","btnComplete","true"
"PEN","OPP_RULE_20","btnReject","true"
"PEN","OPP_RULE_20","btnReevaluate","true"
"PEN","OPP_RULE_16","btnUnlink","true"
"PEN","OPP_RULE_18","btnReject","true"
"PEN","OPP_RULE_21","btnReject","true"
"PEN","OPP_RULE_21","btnReevaluate","true"
"PEN","OPP_RULE_17","btnReject","true"
"PEN","OPP_RULE_17","btnQuote","true"
"PEN","OPP_RULE_22","btnReject","true"
"PEN","OPP_RULE_08","btnReject","true"
"PEN","OPP_RULE_23","btnReevaluate","true"
"PEN","OPP_RULE_22","btnFormalize","true"
"PEN","OPP_RULE_03","btnPenalizeRisk","true"
"PEN","OPP_RULE_12","btnReject","true"
"PEN","OPP_RULE_04","btnReject","true"
"PEN","OPP_RULE_05","btnReject","true"
"PEN","OPP_RULE_05","btnFormalize","true"
"PEN","OPP_RULE_13","btnApprove","true"
"PEN","OPP_RULE_07","btnReevaluate","true"
"PEN","OPP_RULE_01","btnReject","true"
"PEN","OPP_RULE_08","btnFormalization","true"
"PEN","OPP_RULE_18","btnPenalizeRisk","true"
"PEN","OPP_RULE_13","btnReject","true"
"PEN","OPP_RULE_04","btnSanctionPrice","true"
"PEN","OPP_RULE_12","btnQuote","true"
"PEN","OPP_RULE_12","btnReevaluate","true"
"PEN","OPP_RULE_P01","editProduct","true"
"PEN","OPP_RULE_P01","addProduct","true"
"PEN","OPP_RULE_P03","editProduct","true"
"PEN","OPP_RULE_P01","deleteProduct","true"
"PEN","OPP_RULE_06","btnReject","true"
"PEN","OPP_RULE_P02","editProduct","true"
"PEN","OPP_RULE_25","btnSanctionPrice2","true"
"PEN","OPP_RULE_24","btnReject","true"
"PEN","OPP_RULE_26","btnPDF","true"
"PEN","OPP_RULE_15","btnReject","true"
"PEN","OPP_RULE_11","btnReevaluate","true"
"PEN","OPP_RULE_17","btnPenalizeRisk","true"
"PEN","OPP_RULE_03","btnReject","true"
"PEN","OPP_RULE_14","btnReject","true"
"PEN","OPP_RULE_21","btnFormalize","true"
"PEN","OPP_RULE_09","btnReject","true"
"PEN","OPP_RULE_02_PRE","btnReject","true"
"PEN","OPP_RULE_03_PRE","btnReject","true"
"PEN","OPP_RULE_07","btnReject","true"
"PEN","OPP_RULE_14","btnQuote","true"
"PEN","OPP_RULE_19","btnSanctionPrice","true"
"PEN","OPP_RULE_19","btnReject","true"
"PEN","OPP_RULE_01","btnPenalizeRisk","true"
"PEN","OPP_RULE_10","btnReevaluate","true"
"PEN","OPP_RULE_16","btnReject","true"
"PEN","OPP_RULE_09","btnComplete","true"
"PEN","OPP_RULE_02","btnReject","true"
"PEN","OPP_RULE_02","btnQuote","true"
"PEN","OPP_RULE_08","btnReevaluate","true"
"PEN","OPP_RULE_13","btnReevaluate","true"
"PEN","OPP_RULE_07","btnSanctionPrice","true"
"PEN","OPP_RULE_16","btnPenalizeRisk","true"
"PEN","OPP_RULE_09","btnReevaluate","true"
"PEN","OPP_RULE_12","btnApprove","true"
"PEN","OPP_RULE_14","btnReevaluate","true"
"PEN","OPP_RULE_27","btnFormalization","true"