"fprd__LoV_labels__c","fprd__LoV_values__c","fprd__Opportunity__c","fprd__Product_configuration__r.fprd__DeveloperName__c","fprd__Values_control_value__c","Unique_id__c"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"gipr_Garantia_PC00005","No dineraria","DE_GA_PC0005_01"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"gipr_Garantia_PC00005","Dineraria","DE_GA_PC0005_02"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"gipr_Garantia_PC00018","Dineraria","DE_GA_PC0018_01"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"gipr_Garantia_PC00018","No dineraria","DE_GA_PC0018_02"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"Garantia_PC00029","No dineraria","DE_GA_PC0029_01"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"Garantia_PC00029","Dineraria","DE_GA_PC0029_02"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"gipr_Garantia_PC00007","Dineraria","DE_GA_PC0007_01"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"gipr_Garantia_PC00007","No dineraria","DE_GA_PC0007_02"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"Garantia_PC00001","No dineraria","DE_GA_PC0001_01"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"Garantia_PC00001","Dineraria","DE_GA_PC0001_02"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"gipr_Garantia_PC00024","No dineraria","DE_GA_PC0024_01"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"gipr_Garantia_PC00024","Dineraria","DE_GA_PC0024_02"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"Garantia_PC00014","Dineraria","DE_GA_PC0014_01"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"Ca_Garantia_PC00029","Dineraria","DE_CGA_PC0029_01"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"Ca_Garantia_PC00029","No dineraria","DE_CGA_PC0029_02"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"Garantia_PC00014","No dineraria","DE_GA_PC0014_02"
"Meses,Años","02,03",,"Periodicidad_Gracia_PC00018_2",,"LA_GA_PC0018_01"
"Meses,Años","02,03",,"Periodicidad_PC00018_2",,"LA_GA_PC0018_02"
"Al vencimiento,En cuotas,A medida","01,02,03",,"Tipo_amortizacion_PC00018_2",,"LA_GA_PC0018_03"
"Días,Meses","01,02",,"PeriodicidadIG_PC00001_2",,"LA_GA_PC0001_01"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"Tipo_garantia_PC00001_2",,"LA_GA_PC0001_02"
"Días,Meses","01,02",,"Periodicidad_Gracia_PC00001_2",,"LA_GA_PC0001_03"
"Al vencimiento,En cuotas,A medida","01,02,03",,"Tipo_amortizacion_PC00001_2",,"LA_GA_PC0001_04"
"Campañas,Capital de trabajo,Pago de impuestos,Pago haberes,Pago proveedores,Prórroga,Subrrogación","01,02,03,04,05,06,07",,"Destino_PC00001_2",,"LA_GA_PC0001_05"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00001_2",,"LA_GA_PC0001_06"
"Días,Meses","01,02",,"Periodicidad_PC00001_2",,"LA_GA_PC0001_07"
"Regular,Crédito líquido,Crédito puntual,Refinanciado,Reprogramado","01,03,09,14,02",,"Modalidad_PC00001_2",,"LA_GA_PC0001_08"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"gipr_Tipo_garantia_PC00024_2",,"LA_GA_PC0024_01"
"(%),Monto","01,02",,"gipr_Opcioncompra_Tipo_PC00024_2",,"LA_GA_PC0024_02"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"Tipo_garantia_PC00029_2",,"LA_GA_PC0029_01"
"Días,Meses,Años","01,02,03",,"PeriodicidadIG_PC00029_2",,"LA_GA_PC0029_02"
"Pública,Privada","01,02",,"tcf_type_beneficiary_PC00029_2",,"LA_GA_PC0029_03"
"SI,NO","01,02",,"tcf_Legal_VB_text_PC00029_2",,"LA_GA_PC0029_04"
"Bimestral,Trismestral,Cuatrimestral,Semestral,Anual","01,02,05,03,04",,"Periodicity_commission_PC00029_2",,"LA_GA_PC0029_05"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"Ca_Tipo_garantia_PC00029_2",,"LA_GA_PC0029_06"
"BCP,Scotiabank,Interbank,BIF,Banco Financiero,Otros","01,02,03,04,05,06",,"gipr_Origin_bank_PC00033",,"LA_GA_PC0033_01"
"Nuevo flujo,Otros bancos","01,02",,"gipr_Origin_PC00033",,"LA_GA_PC0033_02"
"Si,No","01,02",,"gipr_Physical_token_PC00050",,"LA_GA_PC0050_01"
"Contratación,Upgrade,Downgrade,Uso,T-Cambio","01,02,03,04,05",,"gipr_Request_PC00050",,"LA_GA_PC0050_02"
"Gratuita,Negocios,Empresas,Premium","01,02,03,04",,"gipr_Version_PC00050",,"LA_GA_PC0050_03"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"Tipo_garantia_PC00029",,"LA_GA_PC0029_07"
"Días,Meses","01,02",,"PeriodicidadIG_PC00029",,"LA_GA_PC0029_08"
"Pública,Privada","01,02",,"tcf_type_beneficiary_PC00029",,"LA_GA_PC0029_09"
"SI,NO","01,02",,"tcf_Legal_VB_text_PC00029",,"LA_GA_PC0029_10"
"Bimestral,Trismestral,Semestral,Anual","01,02,03,04",,"Periodicity_commission_PC00029",,"LA_GA_PC0029_11"
"Si,No","01,02",,"gipr_Comex_Bag_PC00007",,"LA_GA_PC0007_01"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00007",,"LA_GA_PC0007_02"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"gipr_Tipo_garantia_PC00007",,"LA_GA_PC0007_03"
"Sin medio de pago,Carta de crédito,Cobranza documentaria,Transferencia","01,02,03,04",,"gipr_PaymentM_PC00007",,"LA_GA_PC0007_04"
"Días,Meses","01,02",,"Periodicidad_PC00007",,"LA_GA_PC0007_05"
"Días,Meses","01,02",,"Periodicidad_Gracia_PC00007",,"LA_GA_PC0007_06"
"Campañas,Capital de trabajo,Pago proveedores,Prórroga,Subrrogación","01,02,05,06,07",,"Destino_PC00007",,"LA_GA_PC0007_07"
"Pre embarque,Post embarque,Sepymex","01,02,03",,"ModalidadP_PC00007",,"LA_GA_PC0007_08"
"Si,No","01,02",,"gipr_Comex_Bag_PC00005",,"LA_GA_PC0005_01"
"Al vencimiento,En cuotas,Manual","01,02,04",,"Tipo_amortizacion_PC00005",,"LA_GA_PC0005_02"
"Meses,Años","02,03",,"Periodicidad_Gracia_PC00018",,"LA_GA_PC0018_04"
"Meses,Años","02,03",,"Periodicidad_PC00018",,"LA_GA_PC0018_05"
"Edificio y terreno,Maquinaria amarilla,Otras maquinarias; equipos y mobiliario,Transporte","21,22,23,24",,"PE_Modality_PC00024_2",,"LA_GA_PC0024_03"
"Días,Meses,Años","01,02,03",,"Ca_PeriodicidadIG_PC00029_2",,"LA_GA_PC0029_12"
"Pública,Privada","01,02",,"Ca_tcf_type_beneficiary_PC00029_2",,"LA_GA_PC0029_13"
"SI,NO","01,02",,"Ca_tcf_Legal_VB_text_PC00029_2",,"LA_GA_PC0029_14"
"BCP,Scotiabank,Interbank,BIF,Banco Financiero,Otros","01,02,03,04,05,06",,"gipr_Origin_bank_PC00047",,"LA_GA_PC0047_01"
"Nuevo flujo,Otros bancos","01,02",,"gipr_Origin_PC00047",,"LA_GA_PC0047_02"
"BCP,Scotiabank,Interbank,BIF,Banco Financiero,Otros","01,02,03,04,05,06",,"gipr_Origin_bank_PC00048",,"LA_GA_PC0048_01"
"Incremento,Migración","03,04",,"gipr_Origin_PC00048",,"LA_GA_PC0048_02"
"Decisores,Calificados,No calificados","01,02,03",,"gipr_Type_of_assets_PC00048",,"LA_GA_PC0048_03"
"Nuevo,Renovación con incremento,Renovación con reducción,Renovación mismo importe","01,02,03,04",,"gipr_Type_PC00058",,"LA_GA_PC0058_01"
"Nuevo,Renovación con incremento,Renovación con reducción,Renovación mismo importe","01,02,03,04",,"gipr_Type_PC00059",,"LA_GA_PC0059_01"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"Tipo_garantia_PC00014",,"LA_GA_PC0014_01"
"Días,Meses","01,02",,"Periodicidad_Gracia_PC00005",,"LA_GA_PC0005_03"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"gipr_Tipo_garantia_PC00005",,"LA_GA_PC0005_04"
"Días,Meses","01,02",,"Periodicidad_PC00005",,"LA_GA_PC0005_05"
"Sin medio de pago,Carta de crédito,Cobranza documentaria,Transferencia","01,02,03,04",,"gipr_PaymentM_PC00005",,"LA_GA_PC0005_06"
"Días,Meses","01,02",,"gipr_Periodicidad_PC00005",,"LA_GA_PC0005_07"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00005",,"LA_GA_PC0005_08"
"Campañas,Capital de trabajo,Pago proveedores,Prórroga,Subrrogación","01,02,05,06,07",,"Destino_PC00005",,"LA_GA_PC0005_09"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00024",,"LA_GA_PC0024_04"
"Meses,Años","02,03",,"Periodicidad_Gracia_PC00024",,"LA_GA_PC0024_05"
"Meses,Años","02,03",,"Periodicidad_PC00024",,"LA_GA_PC0024_06"
"Al vencimiento,En cuotas,A medida","01,02,03",,"Tipo_amortizacion_PC00024",,"LA_GA_PC0024_07"
"Meses,Años","02,03",,"gipr_Periodicidad_PC00024",,"LA_GA_PC0024_08"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"gipr_Tipo_garantia_PC00024",,"LA_GA_PC0024_09"
"Edificio y terreno,Maquinaria amarilla,Otras maquinarias; equipos y mobiliario,Transporte","21,22,23,24",,"PE_Modality_PC00024",,"LA_GA_PC0024_10"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"Ca_Tipo_garantia_PC00029",,"LA_GA_PC0029_20"
"Días,Meses","01,02",,"Ca_PeriodicidadIG_PC00029",,"LA_GA_PC0029_15"
"Pública,Privada","01,02",,"Ca_tcf_type_beneficiary_PC00029",,"LA_GA_PC0029_16"
"SI,NO","01,02",,"Ca_tcf_Legal_VB_text_PC00029",,"LA_GA_PC0029_17"
"Al vencimiento,En cuotas,A medida","01,02,03",,"Tipo_amortizacion_PC00007",,"LA_GA_PC0007_09"
"Días,Meses","01,02",,"gipr_Periodicidad_PC00007",,"LA_GA_PC0007_10"
"Bimestral,Trismestral,Semestral,Anual","01,02,03,04",,"Ca_Periodicity_commission_PC00029",,"LA_GA_PC0029_18"
"Al vencimiento,En cuotas,A medida","01,02,03",,"Tipo_amortizacion_PC00018",,"LA_GA_PC0018_06"
"Inversión inmueble,Inversión maquinaria/equipos,Construcción,Prórroga,Reestructuración,Subrrogación","08,09,10,06,11,07",,"Destino_PC00018",,"LA_GA_PC0018_07"
"Regular,Reprogramado,Refinanciado,Promotor,Compra de deuda,Plan a medida","01,02,14,04,10,15",,"PE_Modality_PC00018",,"LA_GA_PC0018_08"
"Meses,Años","02,03",,"gipr_Periodicidad_PC00018",,"LA_GA_PC0018_09"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"gipr_Tipo_garantia_PC00018",,"LA_GA_PC0018_10"
"Nuevo,Renovación con incremento,Renovación con reducción,Renovación mismo importe","01,02,03,04",,"gipr_Type_PC00060",,"LA_GA_PC0060_01"
"Días,Meses","01,02",,"PeriodicidadIG_PC00001",,"LA_GA_PC0001_09"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"Tipo_garantia_PC00001",,"LA_GA_PC0001_10"
"Días,Meses","01,02",,"Periodicidad_Gracia_PC00001",,"LA_GA_PC0001_11"
"Al vencimiento,En cuotas,A medida","01,02,03",,"Tipo_amortizacion_PC00001",,"LA_GA_PC0001_12"
"Campañas,Capital de trabajo,Pago de impuestos,Pago haberes,Pago proveedores,Prórroga,Subrrogación","01,02,03,04,05,06,07",,"Destino_PC00001",,"LA_GA_PC0001_13"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00001",,"LA_GA_PC0001_14"
"Días,Meses","01,02",,"Periodicidad_PC00001",,"LA_GA_PC0001_15"
"Regular,Crédito líquido,Crédito puntual,Reprogramado","01,03,09,02",,"Modalidad_PC00001",,"LA_GA_PC0001_16"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00018",,"LA_GA_PC0018_11"
"Días,Meses","01,02",,"PeriodicidadIG_PC00014",,"LA_GA_PC0014_02"
"15 días,30 dias,60 dias,90 dias,120 dias,150 dias,180 dias,210 dias,240 dias,270 dias,300 dias,330 dias,360 dias","01,02,03,04,05,06,07,08,09,10,11,12,13",,"Plazo_s_Operaci_n_PC00014",,"LA_GA_PC0014_03"
"(%),Monto","01,02",,"gipr_Opcioncompra_Tipo_PC00024",,"LA_GA_PC0024_11"
"Inversión inmueble,Inversión maquinaria/equipos,Construcción,Prórroga,Reestructuración,Subrrogación","08,09,10,06,11,07",,"Destino_PC00018_2",,"LA_GA_PC0018_12"
"Regular,Reprogramado,Refinanciado,Promotor,Compra de deuda,Plan a medida","01,02,14,04,10,15",,"PE_Modality_PC00018_2",,"LA_GA_PC0018_13"
"Meses,Años","02,03",,"gipr_Periodicidad_PC00018_2",,"LA_GA_PC0018_14"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03",,"gipr_Tipo_garantia_PC00018_2",,"LA_GA_PC0018_15"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00018_2",,"LA_GA_PC0018_16"
"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,"Amortizacion_PC00024_2",,"LA_GA_PC0024_12"
"Meses,Años","02,03",,"Periodicidad_Gracia_PC00024_2",,"LA_GA_PC0024_13"
"Meses,Años","02,03",,"Periodicidad_PC00024_2",,"LA_GA_PC0024_14"
"Al vencimiento,En cuotas,A medida","01,02,03",,"Tipo_amortizacion_PC00024_2",,"LA_GA_PC0024_15"
"Meses,Años","02,03",,"gipr_Periodicidad_PC00024_2",,"LA_GA_PC0024_16"
"Bimestral,Trismestral,Cuatrimestral,Semestral,Anual","01,02,05,03,04",,"Ca_Periodicity_commission_PC00029_2",,"LA_GA_PC0029_19"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"gipr_Garantia_PC00018_2","Dineraria","DE_GA_PC0018_01_2"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"gipr_Garantia_PC00018_2","No dineraria","DE_GA_PC0018_02_2"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"gipr_Garantia_PC00024_2","No dineraria","DE_GA_PC0024_01_2"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"gipr_Garantia_PC00024_2","Dineraria","DE_GA_PC0024_02_2"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"Ca_Garantia_PC00029_2","Dineraria","DE_CGA_PC0029_01_2"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"Ca_Garantia_PC00029_2","No dineraria","DE_CGA_PC0029_02_2"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"Garantia_PC00029_2","No dineraria","DE_GA_PC0029_01_2"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"Garantia_PC00029_2","Dineraria","DE_GA_PC0029_02_2"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17",,"Garantia_PC00001_2","No dineraria","DE_GA_PC0001_01_2"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03",,"Garantia_PC00001_2","Dineraria","DE_GA_PC0001_02_2"
"Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","12,13,14,15,16,17","","Garantia_ig_PC00006","No dineraria","LV_GA_PC00006_1"
"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos","01,02,03","","Garantia_ig_PC00006","Dineraria","LV_GA_PC00006_2"
"Dineraria,Hipotecaria,No dineraria,Sin garantía","01,04,02,03","","Tipo_garantia_ig_PC00006","","LV_TG_PC00006_1"
