"fprd__Allow_row_creation__c","fprd__Allow_row_deletion__c","fprd__Complex_default_value__c","fprd__Complex_sections_descending_order__c","fprd__Complex_section_order_by__c","fprd__Default_value__c","fprd__Descending_order__c","fprd__DeveloperName__c","fprd__First_expanded__c","fprd__Full_width__c","fprd__Header_order__c","fprd__Header__c","fprd__Hidden__c","fprd__Important__c","fprd__Label__c","fprd__Lightning_component_api_name__c","fprd__Lightning_component_attributes__c","fprd__LoV_labels__c","fprd__LoV_values__c","fprd__Lower_limit__c","fprd__Mandatory__c","fprd__Map_field__c","fprd__Max_complex_sections__c","fprd__Order__c","fprd__Product__r.Unique_id__c","fprd__Read_only__c","fprd__Related_map_fields__c","fprd__Section_name__c","fprd__Section_order__c","fprd__Table_default_value__c","fprd__Table_order_by__c","fprd__Table__r.fprd__DeveloperName__c","fprd__Type__c","fprd__Upper_limit__c","fprd__Values_control_field__c","fprd__Version_from__c","fprd__Version_to__c","fprd__Visibility_condition__c","fprd__Visibility_control_field__c","fprd__Visibility_control_value__c"
"false","false","","false","","","false","gipr_OppIsoCurrency_PC00033","false","false","","false","false","false","Moneda","","","","","","false","gipr_OppIsoCurrency__c","","2.0","0240011","true","","Información general del producto","1.0","","","","text","","","","","","",""
"false","false","","false","","01","false","gipr_Origin_bank_PC00033","false","false","","false","false","false","Banco origen","","","BCP,Scotiabank,Interbank,BIF,Banco Financiero,Otros","01,02,03,04,05,06","","false","gipr_Origin_bank__c","","4.0","0240011","false","","Información general del producto","1.0","","","","LIST","","","","","","gipr_Origin_PC00033","Otros bancos"
"false","false","","false","","01","false","gipr_Origin_PC00033","false","false","","false","false","false","Origen","","","Nuevo flujo,Otros bancos","01,02","","false","gipr_Origin__c","","3.0","0240011","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","Importe_PC00033","false","false","","false","false","false","Importe","","","","","","false","UnitPrice","","1.0","0240011","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","02","false","gipr_Physical_token_PC00050","false","false","","false","false","false","Token físico","","","Si,No","01,02","","false","gipr_Physical_token__c","","3.0","21","false","","Información general del producto","1.0","","","","LIST","","","","","","gipr_Request_PC00050","Contratación,Upgrade,Downgrade"
"false","false","","false","","01","false","gipr_Request_PC00050","false","false","","false","false","false","Requerimiento","","","Contratación,Upgrade,Downgrade,Uso,T-Cambio","01,02,03,04,05","","false","gipr_Request__c","","1.0","21","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","03","false","gipr_Version_PC00050","false","false","","false","false","false","Versión","","","Gratuita,Negocios,Empresas,Premium","01,02,03,04","","false","gipr_Version__c","","2.0","21","false","","Información general del producto","1.0","","","","LIST","","","","","","gipr_Request_PC00050","Contratación,Upgrade,Downgrade"
"false","false","","false","","","false","gipr_OppIsoCurrency_PC00047","false","false","","false","false","false","Moneda","","","","","","false","gipr_OppIsoCurrency__c","","2.0","08","true","","Información general del producto","1.0","","","","text","","","","","","",""
"false","false","","false","","01","false","gipr_Origin_bank_PC00047","false","false","","false","false","false","Banco Origen","","","BCP,Scotiabank,Interbank,BIF,Banco Financiero,Otros","01,02,03,04,05,06","","false","gipr_Origin_bank__c","","4.0","08","false","","Información general del producto","1.0","","","","LIST","","","","","","gipr_Origin_PC00047","Otros bancos"
"false","false","","false","","01","false","gipr_Origin_PC00047","false","false","","false","false","false","Origen","","","Nuevo flujo,Otros bancos","01,02","","false","gipr_Origin__c","","3.0","08","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","Importe_PC00047","false","false","","false","false","false","Importe","","","","","","false","UnitPrice","","1.0","08","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","01","false","gipr_Origin_bank_PC00048","false","false","","false","false","false","Banco Origen","","","BCP,Scotiabank,Interbank,BIF,Banco Financiero,Otros","01,02,03,04,05,06","","false","gipr_Origin_bank__c","","4.0","09","false","","Información general del producto","1.0","","","","LIST","","","","","","gipr_Origin_PC00048","Migración"
"false","false","","false","","03","false","gipr_Origin_PC00048","false","false","","false","false","false","Origen","","","Incremento,Migración","03,04","","false","gipr_Origin__c","","3.0","09","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","gipr_Quantity_PC00048","false","false","","false","false","false","Cantidad","","","","","","false","gipr_Quantity__c","","1.0","09","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","02","false","gipr_Type_of_assets_PC00048","false","false","","false","false","false","Tipo de haberes","","","Decisores,Calificados,No calificados","01,02,03","","false","gipr_Type_of_assets__c","","2.0","09","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","gipr_OppIsoCurrency_PC00058","false","false","","false","false","false","Moneda","","","","","","false","gipr_OppIsoCurrency__c","","2.0","PC00040","true","","Información general del producto","1.0","","","","text","","","","","","",""
"false","false","","false","","","false","Importe_PC00058","false","false","","false","false","false","Importe","","","","","","false","UnitPrice","","1.0","PC00040","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","04","false","gipr_Type_PC00058","false","false","","false","false","false","Tipo","","","Nuevo,Renovación con incremento,Renovación con reducción,Renovación mismo importe","01,02,03,04","","false","gipr_Type__c","","3.0","PC00040","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","gipr_OppIsoCurrency_PC00059","false","false","","false","false","false","Moneda","","","","","","false","gipr_OppIsoCurrency__c","","2.0","PC00041","true","","Información general del producto","1.0","","","","text","","","","","","",""
"false","false","","false","","","false","Importe_PC00059","false","false","","false","false","false","Importe","","","","","","false","UnitPrice","","1.0","PC00041","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","04","false","gipr_Type_PC00059","false","false","","false","false","false","Tipo","","","Nuevo,Renovación con incremento,Renovación con reducción,Renovación mismo importe","01,02,03,04","","false","gipr_Type__c","","3.0","PC00041","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","gipr_OppIsoCurrency_PC00060","false","false","","false","false","false","Moneda","","","","","","false","gipr_OppIsoCurrency__c","","2.0","PC00042","true","","Información general del producto","1.0","","","","text","","","","","","",""
"false","false","","false","","","false","Importe_PC00014","false","false","1.0","true","false","false","Importe","","","","","0.0","false","UnitPrice","","1.0","0159501","false","","Información general del producto","1.0","","","","currency","","","","","","",""
"false","false","","false","","03","false","Tipo_garantia_PC00014","false","false","","false","false","false","Tipo garantía","","","Dineraria,No dineraria,Sin garantía","01,02,03","","false","gipr_Tipo_Garantia__c","","4.0","0159501","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","PlazoIG_PC00014","false","false","2.0","true","false","false","Plazo","","","","","","false","gipr_Plazo__c","","2.0","0159501","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","02","false","Periodicidad_Gracia_PC00005","false","false","","false","false","false","Periodicidad de gracia","","","Días,Meses","01,02","","false","cpliq_Periodicidad_gracia__c","","6.0","0161720","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","Tipo_amortizacion_PC00005","En cuotas"
"false","false","","false","","03","false","gipr_Tipo_garantia_PC00005","false","false","","false","false","false","Tipo garantía","","","Dineraria,No dineraria,Sin garantía","01,02,03","","false","gipr_Tipo_Garantia__c","","6.0","0161720","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","02","false","Periodicidad_PC00005","false","false","","false","false","false","Periodicidad","","","Días,Meses","01,02","","false","cpliq_Periodicidad__c","","4.0","0161720","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","Tipo_amortizacion_PC00005","Al vencimiento,En cuotas"
"false","false","","false","","100","false","gipr_Cobertura_PC00005","false","false","","false","false","false","Cobertura (%)","","","","","","false","gipr_Cobertura__c","","8.0","0161720","false","","Información general del producto","1.0","","","","number","","","","","","gipr_Tipo_garantia_PC00005","Dineraria,No dineraria"
"false","false","","false","","01","false","gipr_PaymentM_PC00005","false","false","","false","false","false","Medio de Pago","","","Sin medio de pago,Carta de crédito,Cobranza documentaria,Transferencia","01,02,03,04","","false","gipr_Payment_Method__c","","10.0","0161720","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","n_PC00005","false","false","","false","false","false","Plazo","","","","","","false","cpliq_n__c","","3.0","0161720","false","","Criterios de pago y liquidación","2.0","","","","number","","","","","","Tipo_amortizacion_PC00005","Al vencimiento,En cuotas"
"false","false","","false","","","false","n_Gracia_PC00005","false","false","","false","false","false","Plazo de gracia","","","","","","false","cpliq_n_gracia__c","","5.0","0161720","false","","Criterios de pago y liquidación","2.0","","","","number","","","","","","Tipo_amortizacion_PC00005","En cuotas"
"false","false","","false","","","false","PlazoIG_PC00005","false","false","2.0","true","false","false","Plazo","","","","","","false","gipr_Plazo__c","","3.0","0161720","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","02","false","gipr_Garantia_PC00005","false","false","","false","false","false","Garantía","","","Cuenta en garantía,Depósito cuenta a plazo,Super depósitos,Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","01,02,03,04,05,06,07,09,10,11,12,13,14,15,16,17","","false","gipr_Garantia__c","","7.0","0161720","false","","Información general del producto","1.0","","","","LIST","","gipr_Tipo_garantia_PC00005","","","","gipr_Tipo_garantia_PC00005","No dineraria,Dineraria"
"false","false","","false","","","false","Fecha_Vencimiento_PC00005","false","false","","false","false","false","Fecha de vencimiento","","","","","","false","cpliq_Fecha_Vencimiento__c","","5.0","0161720","false","","Criterios de pago y liquidación","2.0","","","","date","","","","","","Tipo_amortizacion_PC00005","Al vencimiento"
"false","false","","false","","","false","Cuenta_vinculada_PC00005","false","false","","false","false","false","Cuenta vinculada","","","","","","false","cpliq_Cuenta_vinculada__c","","1.0","0161720","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","",""
"false","false","","false","","02","false","gipr_Periodicidad_PC00005","false","false","3.0","true","false","false","Periodicidad","","","Días,Meses","01,02","","false","gipr_Periodicidad__c","","4.0","0161720","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","Amortizacion_PC00005","false","false","","false","false","false","Amortización","","","Mensual,Trimestral,Semestral,Anual","01,02,03,04","","false","cpliq_Amortizacion__c","","7.0","0161720","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","Tipo_amortizacion_PC00005","En cuotas"
"false","false","","false","","","false","Importe_PC00005","false","false","1.0","true","false","false","Importe","","","","","","false","UnitPrice","","1.0","0161720","false","","Información general del producto","1.0","","","","currency","","","","","","",""
"false","false","","false","","false","false","Mejorado_PC00005","false","false","","false","false","false","Mejorado","","","","","","false","PE_List_Mejorado__c","","2.0","0161720","false","","Información general del producto","1.0","","","","checkbox","","","","","","",""
"false","false","","false","","02","false","Destino_PC00005","false","false","","false","false","false","Destino","","","Campañas,Capital de trabajo,Pago proveedores,Prórroga,Subrrogación","01,02,05,06,07","","false","gipr_Destino__c","","5.0","0161720","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","01","false","gipr_Opcioncompra_PC00024","false","false","","false","false","false","Opción de compra (%)","","","","","0.0","false","gipr_Opcioncompra__c","","8.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","number","","","","","","gipr_Opcioncompra_Tipo_PC00024","(%)"
"false","false","","false","","","false","Cuenta_vinculada_PC00024","false","false","","false","false","false","Cuenta vinculada","","","","","","false","cpliq_Cuenta_vinculada__c","","1.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","",""
"false","false","","false","","","false","Amortizacion_PC00024","false","false","","false","false","false","Amortización","","","Mensual,Trimestral,Semestral,Anual","01,02,03,04","","false","cpliq_Amortizacion__c","","7.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","Tipo_amortizacion_PC00024","En cuotas"
"false","false","","false","","","false","Fecha_Vencimiento_PC00024","false","false","","false","false","false","Fecha de vencimiento","","","","","","false","cpliq_Fecha_Vencimiento__c","","5.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","date","","","","","","Tipo_amortizacion_PC00024","Al vencimiento"
"false","false","","false","","02","false","Periodicidad_Gracia_PC00024","false","false","","false","false","false","Periodicidad de gracia","","","Meses,Años","02,03","","false","cpliq_Periodicidad_gracia__c","","6.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","Tipo_amortizacion_PC00024","En cuotas"
"false","false","","false","","","false","n_Gracia_PC00024","false","false","","false","false","false","Plazo de gracia","","","","","","false","cpliq_n_gracia__c","","5.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","number","","","","","","Tipo_amortizacion_PC00024","En cuotas"
"false","false","","false","","02","false","Periodicidad_PC00024","false","false","","false","false","false","Periodicidad","","","Meses,Años","02,03","","false","cpliq_Periodicidad__c","","4.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","",""
"false","false","","false","","02","false","Tipo_amortizacion_PC00024","false","false","","false","false","false","Tipo amortización","","","Al vencimiento,En cuotas,A medida","01,02,03","","false","cpliq_Tipo_amortizacion__c","","2.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","Codigo_Simulacion_PC00024","false","false","","false","false","false","Código simulación","","","","","","false","cpliq_Codigo_Simulacion__c","","5.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","Tipo_amortizacion_PC00024","A medida"
"false","false","","false","","","false","n_PC00024","false","false","","false","false","false","Plazo","","","","","","false","cpliq_n__c","","3.0","0159601_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","number","","","","","","",""
"false","false","","false","","","false","PlazoIG_PC00024","false","false","2.0","true","false","false","Plazo","","","","","","false","gipr_Plazo__c","","4.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","02","false","gipr_Periodicidad_PC00024","false","false","3.0","true","false","false","Periodicidad","","","Meses,Años","02,03","","false","gipr_Periodicidad__c","","5.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","03","false","gipr_Tipo_garantia_PC00024","false","false","","false","false","false","Tipo garantía","","","Dineraria,No dineraria,Sin garantía","01,02,03","","false","gipr_Tipo_Garantia__c","","10.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","gipr_Garantia_PC00024","false","false","","false","false","false","Garantía","","","","","","false","gipr_Garantia__c","","11.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","gipr_Tipo_garantia_PC00024","","","","gipr_Tipo_garantia_PC00024","No dineraria,Dineraria"
"false","false","","false","","100","false","gipr_Cobertura_PC00024","false","false","","false","false","false","Cobertura (%)","","","","","","false","gipr_Cobertura__c","","12.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","number","","","","","","gipr_Tipo_garantia_PC00024","Dineraria,No dineraria"
"false","false","","false","","10","false","gipr_CuotaInicial_PC00024","false","false","","false","false","false","Cuota Inicial (%)","","","","","","false","gipr_CuotaInicial__c","","6.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","07","false","PE_Modality_PC00024","false","false","","false","false","false","Modalidad Producto","","","Construcción,Mobiliario, Inmobiliario","06,07,08","","false","PE_List_Product_mode__c","","2.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","Importe_PC00024","false","false","1.0","true","false","false","Importe","","","","","","false","UnitPrice","","1.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","currency","","","","","","",""
"false","false","","false","","FALSE","false","Mejorado_PC00024","false","false","","false","false","false","Mejorado","","","","","","false","PE_List_Mejorado__c","","3.0","0159601_V1_DEPRECATED","false","","Información general del producto","1.0","","","","checkbox","","","","","","",""
"false","false","","false","","03","false","Ca_Tipo_garantia_PC00029","false","false","","false","false","false","Tipo garantía","","","Dineraria,No dineraria,Sin garantía","01,02,03","","false","gipr_Tipo_Garantia__c","","8.0","0292230_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","Ca_Fecha_Vencimiento_PC00029","false","false","","false","false","false","Fecha de vencimiento","","","","","","false","cpliq_Fecha_Vencimiento__c","","4.0","0292230_V1_DEPRECATED","false","","Información general del producto","1.0","","","","date","","","","","","",""
"false","false","","false","","","false","Ca_Cuenta_vinculada_PC00029","false","false","","false","false","false","Cuenta vinculada","","","","","","false","cpliq_Cuenta_vinculada__c","","2.0","0292230_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","",""
"false","false","","false","","02","false","Ca_Garantia_PC00029","false","false","","false","false","false","Garantía","","","Cuenta en garantía,Depósito cuenta a plazo,Super depósitos,Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","01,02,03,04,05,06,07,09,10,11,12,13,14,15,16,17","","false","gipr_Garantia__c","","9.0","0292230_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","Ca_Tipo_garantia_PC00029","","","","Ca_Tipo_garantia_PC00029","No dineraria,Dineraria"
"false","false","","false","","","false","Ca_Importe_PC00029","false","false","1.0","true","false","false","Importe","","","","","","false","UnitPrice","","1.0","0292230_V1_DEPRECATED","false","","Información general del producto","1.0","","","","currency","","","","","","",""
"false","false","","false","","02","false","Ca_PeriodicidadIG_PC00029","false","false","3.0","true","false","false","Periodicidad","","","Días,Meses","01,02","","false","gipr_Periodicidad__c","","3.0","0292230_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","01","false","Ca_tcf_type_beneficiary_PC00029","false","false","","false","false","false","Tipo de Beneficiario","","","Pública,Privada","01,02","","false","tcf_type_beneficiary__c","","6.0","0292230_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","100","false","Ca_Cobertura_PC00029","false","false","","false","false","false","Cobertura (%)","","","","","0.0","false","gipr_Cobertura__c","","10.0","0292230_V1_DEPRECATED","false","","Información general del producto","1.0","","","","number","100.0","","","","","Ca_Tipo_garantia_PC00029","Dineraria,No dineraria"
"false","false","","false","","","false","Ca_tcf_beneficiary_PC00029","false","false","","false","false","false","Beneficiario","","","","","","false","tcf_beneficiary__c","","5.0","0292230_V1_DEPRECATED","false","","Información general del producto","1.0","","","","text","","","","","","",""
"false","false","","false","","02","false","Ca_tcf_Legal_VB_text_PC00029","false","false","","false","false","false","Texto VB° Legal","","","SI,NO","01,02","","false","tcf_Legal_VB_text__c","","7.0","0292230_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","01","false","Tipo_amortizacion_PC00007","false","false","","false","false","false","Tipo amortización","","","Al vencimiento,En cuotas,Manual","01,02,04","","false","cpliq_Tipo_amortizacion__c","","2.0","0161710","true","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","",""
"false","false","","false","","02","false","gipr_Periodicidad_PC00007","false","false","3.0","true","false","false","Periodicidad","","","Días,Meses","01,02","","false","gipr_Periodicidad__c","","6.0","0161710","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","Cuenta_vinculada_PC00007","false","false","","false","false","false","Cuenta vinculada","","","","","","false","cpliq_Cuenta_vinculada__c","","1.0","0161710","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","",""
"false","false","","false","","","false","Fecha_Vencimiento_PC00007","false","false","","false","false","false","Fecha de vencimiento","","","","","","false","cpliq_Fecha_Vencimiento__c","","5.0","0161710","false","","Criterios de pago y liquidación","2.0","","","","date","","","","","","Tipo_amortizacion_PC00007","Al vencimiento"
"false","false","","false","","100","false","gipr_Cobertura_PC00007","false","false","","false","false","false","Cobertura (%)","","","","","","false","gipr_Cobertura__c","","10.0","0161710","false","","Información general del producto","1.0","","","","number","","","","","","gipr_Tipo_garantia_PC00007","Dineraria,No dineraria"
"false","false","","false","","","false","Ca_PlazoIG_PC00029","false","false","2.0","true","false","false","Plazo","","","","","","false","gipr_Plazo__c","","2.0","0292230_V1_DEPRECATED","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","01","false","Ca_Periodicity_commission_PC00029","false","false","","false","false","false","Periodicidad comisión","","","Bimestral,Trismestral,Semestral,Anual","01,02,03,04","","false","tcf_Periodicity_commission__c","","1.0","0292230_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","",""
"false","false","","false","","03","false","Tipo_garantia_PC00029","false","false","","false","false","false","Tipo garantía","","","Dineraria,No dineraria,Sin garantía","01,02,03","","false","gipr_Tipo_Garantia__c","","8.0","0292235_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","Fecha_Vencimiento_PC00029","false","false","","false","false","false","Fecha de vencimiento","","","","","","false","cpliq_Fecha_Vencimiento__c","","4.0","0292235_V1_DEPRECATED","false","","Información general del producto","1.0","","","","date","","","","","","",""
"false","false","","false","","","false","Cuenta_vinculada_PC00029","false","false","","false","false","false","Cuenta vinculada","","","","","","false","cpliq_Cuenta_vinculada__c","","2.0","0292235_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","",""
"false","false","","false","","02","false","Garantia_PC00029","false","false","","false","false","false","Garantía","","","Cuenta en garantía,Depósito cuenta a plazo,Super depósitos,Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","01,02,03,04,05,06,07,09,10,11,12,13,14,15,16,17","","false","gipr_Garantia__c","","9.0","0292235_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","Tipo_garantia_PC00029","","","","Tipo_garantia_PC00029","No dineraria,Dineraria"
"false","false","","false","","","false","Importe_PC00029","false","false","1.0","true","false","false","Importe","","","","","","false","UnitPrice","","1.0","0292235_V1_DEPRECATED","false","","Información general del producto","1.0","","","","currency","","","","","","",""
"false","false","","false","","02","false","PeriodicidadIG_PC00029","false","false","3.0","true","false","false","Periodicidad","","","Días,Meses","01,02","","false","gipr_Periodicidad__c","","3.0","0292235_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","01","false","tcf_type_beneficiary_PC00029","false","false","","false","false","false","Tipo de Beneficiario","","","Pública,Privada","01,02","","false","tcf_type_beneficiary__c","","6.0","0292235_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","100","false","Cobertura_PC00029","false","false","","false","false","false","Cobertura (%)","","","","","0.0","false","gipr_Cobertura__c","","10.0","0292235_V1_DEPRECATED","false","","Información general del producto","1.0","","","","number","100.0","","","","","Tipo_garantia_PC00029","Dineraria,No dineraria"
"false","false","","false","","","false","tcf_beneficiary_PC00029","false","false","","false","false","false","Beneficiario","","","","","","false","tcf_beneficiary__c","","5.0","0292235_V1_DEPRECATED","false","","Información general del producto","1.0","","","","text","","","","","","",""
"false","false","","false","","02","false","tcf_Legal_VB_text_PC00029","false","false","","false","false","false","Texto VB° Legal","","","SI,NO","01,02","","false","tcf_Legal_VB_text__c","","7.0","0292235_V1_DEPRECATED","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","PlazoIG_PC00029","false","false","2.0","true","false","false","Plazo","","","","","","false","gipr_Plazo__c","","2.0","0292235_V1_DEPRECATED","false","","Información general del producto","1.0","","","","number","","","","","","",""
"false","false","","false","","01","false","Periodicity_commission_PC00029","false","false","","false","false","false","Periodicidad comisión","","","Bimestral,Trismestral,Semestral,Anual","01,02,03,04","","false","tcf_Periodicity_commission__c","","1.0","0292235_V1_DEPRECATED","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","",""
"false","false","","false","","02","false","gipr_Comex_Bag_PC00007","false","false","","false","false","false","Bolsa Comex","","","Si,No","01,02","","false","gipr_Comex_Bag__c","","7.0","0161710","false","","Información general del producto","1.0","","","","LIST","","","","","","",""
"false","false","","false","","","false","n_Gracia_PC00007","false","false","","false","false","false","Plazo de gracia","","","","","","false","cpliq_n_gracia__c","","5.0","0161710","false","","Criterios de pago y liquidación","2.0","","","","number","","","","","","Tipo_amortizacion_PC00007","En cuotas"
